gencode_id,gene_name,refseq_id
ENST00000398090,SLC7A2,NM_003046
ENST00000341911,MYB,NM_001130173
ENST00000341911,MYB,NM_001161658
ENST00000341911,MYB,NM_001161656
ENST00000442647,MYB,NM_001161660
ENST00000442647,MYB,NM_001130172
ENST00000367814,MYB,NM_001161659
ENST00000367814,MYB,NM_005375
ENST00000525369,MYB,NM_001161657
ENST00000272421,ANKRD53,NM_024933
ENST00000360589,ANKRD53,NM_001115116
ENST00000338591,KLHL17,NM_198317
ENST00000598742,RPS19,NM_001022
ENST00000307771,ZRSR2,NM_005089
ENST00000524632,TMEM262,NM_001242631
ENST00000530719,TMEM262,NM_001282448
ENST00000320152,PRTFDC1,NM_020200
ENST00000376378,PRTFDC1,NM_001282786
ENST00000374459,RASGEF1A,NM_001282862
ENST00000395810,RASGEF1A,NM_145313
ENST00000328771,DHX34,NM_014681
ENST00000371317,MCTS1,NM_014060
ENST00000371315,MCTS1,NM_001137554
ENST00000361729,E2F2,NM_004091
ENST00000488300,RNF182,NM_152737
ENST00000537663,RNF182,NM_001165034
ENST00000544682,RNF182,NM_001165032
ENST00000537388,RNF182,NM_001165033
ENST00000367034,MRPL18,NM_014161
ENST00000375787,DDAH2,NM_013974
ENST00000296603,LMBRD2,NM_001007527
ENST00000389703,HAGHL,NM_032304
ENST00000359193,HIST1H2AG,NM_021064
ENST00000321037,ENPP4,NM_014936
ENST00000382119,NANOGNB,NM_001145465
ENST00000219789,CDIPT,NM_006319
ENST00000566113,CDIPT,NM_001286585
ENST00000552361,RPS26,NM_001029
ENST00000323110,CYP11B2,NM_000498
ENST00000319516,TFAP2A,NM_001042425
ENST00000379608,TFAP2A,NM_001032280
ENST00000379604,TFAP2A,NM_003220
ENST00000354373,RFPL1,NM_021026
ENST00000329235,AP1S2,NM_003916
ENST00000329235,AP1S2,NM_001272071
ENST00000374561,ID3,NM_002167
ENST00000396891,HIST1H2BK,NM_080593
ENST00000248553,HSPB1,NM_001540
ENST00000308774,TRMT112,NM_016404
ENST00000308774,TRMT112,NM_001286082
ENST00000280614,CCRN4L,NM_012118
ENST00000310624,NEFH,NM_021076
ENST00000230565,ENPP5,NM_021572
ENST00000393847,DPEP2,NM_022355
ENST00000438793,PAM,NM_001177306
ENST00000438793,PAM,NM_000919
ENST00000438793,PAM,NM_138766
ENST00000346918,PAM,NM_138822
ENST00000348126,PAM,NM_138821
ENST00000342380,ASTL,NM_001002036
ENST00000233813,IGFBP5,NM_000599
ENST00000379907,ADAM32,NM_145004
ENST00000371847,SPATA6,NM_019073
ENST00000371847,SPATA6,NM_001286239
ENST00000371843,SPATA6,NM_001286238
ENST00000354348,HIST1H4I,NM_003495
ENST00000278855,OOSP2,NM_173801
ENST00000316824,ALX1,NM_006982
ENST00000327419,C11orf87,NM_207645
ENST00000422354,MEGF11,NM_032445
ENST00000548278,RITA1,NM_032848
ENST00000552495,RITA1,NM_001286215
ENST00000288710,DRC1,NM_145038
ENST00000279281,VPS51,NM_013265
ENST00000250825,VCY,NM_004679
ENST00000244709,TREM1,NM_018643
ENST00000334475,TREM1,NM_001242590
ENST00000591620,TREM1,NM_001242589
ENST00000508540,CHAD,NM_001267
ENST00000262903,HACE1,NM_020771
ENST00000392167,PNLDC1,NM_001271862
ENST00000610273,PNLDC1,NM_173516
ENST00000377459,HIST1H2AH,NM_080596
ENST00000399212,SETD4,NM_001286752
ENST00000332131,SETD4,NM_017438
ENST00000399205,SETD4,NM_001007261
ENST00000399208,SETD4,NM_001007259
ENST00000361228,RASSF9,NM_005447
ENST00000229307,NANOG,NM_024865
ENST00000380641,CNTLN,NM_001114395
ENST00000425824,CNTLN,NM_017738
ENST00000379410,PLEKHN1,NM_032129
ENST00000379407,PLEKHN1,NM_001160184
ENST00000265431,CALB1,NM_004929
ENST00000398468,NOTO,NM_001134462
ENST00000278590,ZC3H12C,NM_033390
ENST00000383202,STAG1,NM_005862
ENST00000292494,LY6E,NM_002346
ENST00000429120,LY6E,NM_001127213
ENST00000288943,DUSP2,NM_004418
ENST00000367135,SLC26A9,NM_052934
ENST00000367134,SLC26A9,NM_134325
ENST00000395032,MS4A3,NM_001031666
ENST00000278865,MS4A3,NM_006138
ENST00000358152,MS4A3,NM_001031809
ENST00000429828,NUTM2B,NM_001278495
ENST00000380289,GRPR,NM_005314
ENST00000265340,PITX1,NM_002653
ENST00000221972,CD79A,NM_021601
ENST00000221972,CD79A,NM_001783
ENST00000293379,ITGA5,NM_002205
ENST00000256495,BHLHE40,NM_003670
ENST00000380099,KL,NM_004795
ENST00000236979,TNP1,NM_003284
ENST00000295989,CAND2,NM_012298
ENST00000456430,CAND2,NM_001162499
ENST00000400004,MAGEB17,NM_001277307
ENST00000265462,PRDX5,NM_012094
ENST00000352435,PRDX5,NM_181651
ENST00000347941,PRDX5,NM_181652
ENST00000585807,HSD17B1,NM_000413
ENST00000373083,NCR2,NM_001199510
ENST00000373089,NCR2,NM_004828
ENST00000373086,NCR2,NM_001199509
ENST00000250823,VCY1B,NM_181880
ENST00000490103,THOC5,NM_003678
ENST00000397873,THOC5,NM_001002877
ENST00000397872,THOC5,NM_001002878
ENST00000397871,THOC5,NM_001002879
ENST00000374550,RPL11,NM_000975
ENST00000374550,RPL11,NM_001199802
ENST00000371818,IFIT3,NM_001549
ENST00000371811,IFIT3,NM_001031683
ENST00000376020,SHROOM4,NM_020717
ENST00000389501,SMYD5,NM_006062
ENST00000230582,PRSS16,NM_005865
ENST00000373306,TACR2,NM_001057
ENST00000280979,AKAP6,NM_004274
ENST00000378746,KIF3A,NM_007054
ENST00000309546,LIME1,NM_017806
ENST00000313213,PFN4,NM_199346
ENST00000320185,FGF8,NM_033163
ENST00000320185,FGF8,NM_033164
ENST00000346714,FGF8,NM_033165
ENST00000347978,FGF8,NM_006119
ENST00000358635,ELF2,NM_001276458
ENST00000358635,ELF2,NM_006874
ENST00000265495,ELF2,NM_201999
ENST00000379549,ELF2,NM_001276457
ENST00000379549,ELF2,NM_001276459
ENST00000359051,HYAL3,NM_001200030
ENST00000336307,HYAL3,NM_003549
ENST00000336307,HYAL3,NM_001200029
ENST00000415204,HYAL3,NM_001200031
ENST00000513170,HYAL3,NM_001200032
ENST00000403627,FAM104A,NM_032837
ENST00000405159,FAM104A,NM_001098832
ENST00000359276,CTPS2,NM_175859
ENST00000380241,CTPS2,NM_019857
ENST00000443824,CTPS2,NM_001144002
ENST00000299732,IQCD,NM_138451
ENST00000296387,CLDN19,NM_001123395
ENST00000296387,CLDN19,NM_148960
ENST00000539749,CLDN19,NM_001185117
ENST00000432999,ZBED5,NM_021211
ENST00000432999,ZBED5,NM_001143667
ENST00000252660,MAS1,NM_002377
ENST00000310442,ZDHHC24,NM_207340
ENST00000233336,TTL,NM_153712
ENST00000344096,DYRK2,NM_006482
ENST00000393555,DYRK2,NM_003583
ENST00000397298,MRPL23,NM_021134
ENST00000336934,STARD13,NM_178006
ENST00000336934,STARD13,NM_001243476
ENST00000255486,STARD13,NM_178007
ENST00000399365,STARD13,NM_052851
ENST00000261183,OSBPL8,NM_020841
ENST00000393250,OSBPL8,NM_001003712
ENST00000265594,MCCC1,NM_020166
ENST00000221222,HOMER3,NM_001145724
ENST00000392351,HOMER3,NM_004838
ENST00000542541,HOMER3,NM_001145722
ENST00000433218,HOMER3,NM_001145721
ENST00000301457,NDUFA7,NM_005001
ENST00000227756,GALNT18,NM_198516
ENST00000256496,ARL8B,NM_018184
ENST00000272438,TEX261,NM_144582
ENST00000292450,ZSCAN21,NM_145914
ENST00000307630,YWHAG,NM_012479
ENST00000541323,PDGFRL,NM_006207
ENST00000337288,STARD7,NM_020151
ENST00000372954,CIZ1,NM_001131018
ENST00000372948,CIZ1,NM_001131015
ENST00000372938,CIZ1,NM_001131016
ENST00000393608,CIZ1,NM_012127
ENST00000538431,CIZ1,NM_001257975
ENST00000357558,CIZ1,NM_001131017
ENST00000541172,CIZ1,NM_001257976
ENST00000344079,LRRC27,NM_001143759
ENST00000368614,LRRC27,NM_030626
ENST00000368613,LRRC27,NM_001143757
ENST00000368615,LRRC27,NM_001143758
ENST00000267101,ERBB3,NM_001982
ENST00000411731,ERBB3,NM_001005915
ENST00000371839,AGBL4,NM_032785
ENST00000275560,SRCRB4D,NM_080744
ENST00000432382,C5orf66,NM_001277348
ENST00000244527,SLC17A1,NM_005074
ENST00000266077,SLC2A4RG,NM_020062
ENST00000304661,C1GALT1C1,NM_001011551
ENST00000371313,C1GALT1C1,NM_152692
ENST00000251588,NARFL,NM_022493
ENST00000327268,SLC16A6,NM_001174166
ENST00000580666,SLC16A6,NM_004694
ENST00000267260,SRRM4,NM_194286
ENST00000382872,NLGN4Y,NM_001206850
ENST00000355905,NLGN4Y,NM_014893
ENST00000297967,NLGN4Y,NM_001164238
ENST00000432126,KIAA0141,NM_014773
ENST00000432126,KIAA0141,NM_001142603
ENST00000262013,SPAG9,NM_001130528
ENST00000510283,SPAG9,NM_001251971
ENST00000505279,SPAG9,NM_001130527
ENST00000357122,SPAG9,NM_003971
ENST00000295150,FAM228A,NM_001040710
ENST00000600659,RPS28,NM_001031
ENST00000502692,ACTN3,NM_001258371
ENST00000513398,ACTN3,NM_001104
ENST00000527223,DNAAF3,NM_001256714
ENST00000391720,DNAAF3,NM_178837
ENST00000391720,DNAAF3,NM_001256715
ENST00000391720,DNAAF3,NM_001256716
ENST00000371311,CT47B1,NM_001145718
ENST00000182527,TRAM2,NM_012288
ENST00000528848,CSNK2A3,NM_001256686
ENST00000378454,DCDC2,NM_001195610
ENST00000378454,DCDC2,NM_016356
ENST00000340296,DYNC1I2,NM_001271788
ENST00000340296,DYNC1I2,NM_001271790
ENST00000340296,DYNC1I2,NM_001271786
ENST00000397119,DYNC1I2,NM_001378
ENST00000409197,DYNC1I2,NM_001271787
ENST00000409197,DYNC1I2,NM_001271789
ENST00000409773,DYNC1I2,NM_001271785
ENST00000416816,CT47A12,NM_001242922
ENST00000380607,SH3GL2,NM_003026
ENST00000528498,RDX,NM_001260493
ENST00000405097,RDX,NM_001260492
ENST00000528900,RDX,NM_001260495
ENST00000530301,RDX,NM_001260496
ENST00000343115,RDX,NM_001260494
ENST00000343115,RDX,NM_002906
ENST00000361505,PNP,NM_000270
ENST00000397795,TRPM1,NM_002420
ENST00000256552,TRPM1,NM_001252024
ENST00000559179,TRPM1,NM_001252030
ENST00000542188,TRPM1,NM_001252020
ENST00000403058,POU6F2,NM_001166018
ENST00000403058,POU6F2,NM_007252
ENST00000457020,CT47A11,NM_173571
ENST00000228825,ARPC3,NM_005719
ENST00000228825,ARPC3,NM_001278556
ENST00000228825,ARPC3,NM_001287222
ENST00000380569,GCOM1,NM_001018090
ENST00000380568,GCOM1,NM_001018091
ENST00000574161,GCOM1,NM_001018100
ENST00000572390,GCOM1,NM_152451
ENST00000356956,IGF2R,NM_000876
ENST00000341209,FAM72A,NM_001123168
ENST00000399100,SEC24B,NM_001042734
ENST00000265175,SEC24B,NM_006323
ENST00000570508,APOBEC3A,NM_001193289
ENST00000233957,IL18R1,NM_003855
ENST00000371833,BEND5,NM_024603
ENST00000392750,PDCD10,NM_007217
ENST00000473645,PDCD10,NM_145859
ENST00000497056,PDCD10,NM_145860
ENST00000458549,TMEM64,NM_001008495
ENST00000418210,TMEM64,NM_001146273
ENST00000375784,CLIC1,NM_001288
ENST00000375780,CLIC1,NM_001287593
ENST00000395892,CLIC1,NM_001287594
ENST00000419311,RAB9BP1,NR_000039
ENST00000453386,TRA2B,NM_004593
ENST00000382191,TRA2B,NM_001243879
ENST00000258955,RSAD1,NM_018346
ENST00000236040,LEPRE1,NM_001243246
ENST00000397054,LEPRE1,NM_022356
ENST00000397054,LEPRE1,NM_001146289
ENST00000300134,STAT6,NM_001178078
ENST00000300134,STAT6,NM_003153
ENST00000538913,STAT6,NM_001178081
ENST00000543873,STAT6,NM_001178079
ENST00000537215,STAT6,NM_001178080
ENST00000530908,CBR1,NM_001286789
ENST00000290349,CBR1,NM_001757
ENST00000216121,NIPSNAP1,NM_001202502
ENST00000216121,NIPSNAP1,NM_003634
ENST00000380200,S100G,NM_004057
ENST00000291842,SHKBP1,NM_138392
ENST00000356786,CCDC88B,NM_032251
ENST00000338588,FAM180A,NM_205855
ENST00000295930,RSRC1,NM_016625
ENST00000295930,RSRC1,NM_001271838
ENST00000312179,RSRC1,NM_001271834
ENST00000256497,EDEM1,NM_014674
ENST00000367126,AVPR1B,NM_000707
ENST00000602198,TEX101,NM_031451
ENST00000598265,TEX101,NM_001130011
ENST00000428771,HES4,NM_001142467
ENST00000428771,HES4,NM_021170
ENST00000380155,SYAP1,NM_032796
ENST00000336812,DHX15,NM_001358
ENST00000502536,OSMR,NM_001168355
ENST00000274276,OSMR,NM_003999
ENST00000331555,C1orf186,NM_001007544
ENST00000340749,SLC2A14,NM_001286235
ENST00000543909,SLC2A14,NM_001286233
ENST00000431042,SLC2A14,NM_001286234
ENST00000396589,SLC2A14,NM_153449
ENST00000539924,SLC2A14,NM_001286237
ENST00000430448,CT47A10,NM_001080137
ENST00000290354,CBR3,NM_001236
ENST00000440501,SLC46A1,NM_080669
ENST00000321666,SLC46A1,NM_001242366
ENST00000437633,DOCK4,NM_014705
ENST00000339865,USP47,NM_017944
ENST00000527733,USP47,NM_001282659
ENST00000264387,C2orf83,NM_020161
ENST00000409066,C2orf83,NM_001162483
ENST00000373290,TSPAN15,NM_012339
ENST00000303142,C20orf196,NM_152504
ENST00000298892,CAPRIN2,NM_023925
ENST00000395805,CAPRIN2,NM_001206856
ENST00000251071,CAPRIN2,NM_032156
ENST00000251071,CAPRIN2,NM_001002259
ENST00000371809,IFIT1B,NM_001010987
ENST00000330430,RCAN2,NM_005822
ENST00000371374,RCAN2,NM_001251974
ENST00000306764,RCAN2,NM_001251973
ENST00000379389,ISG15,NM_005101
ENST00000565263,DUS2,NM_017803
ENST00000358896,DUS2,NM_001271762
ENST00000432752,DUS2,NM_001271763
ENST00000245663,ZBTB46,NM_025224
ENST00000417640,NECAB1,NM_022351
ENST00000405044,TBC1D28,NM_001039397
ENST00000379445,CTXN3,NM_001048252
ENST00000395322,CTXN3,NM_001127385
ENST00000371804,IFIT1,NM_001270927
ENST00000371804,IFIT1,NM_001548
ENST00000546318,IFIT1,NM_001270929
ENST00000546318,IFIT1,NM_001270928
ENST00000546318,IFIT1,NM_001270930
ENST00000358184,CTSE,NM_001910
ENST00000360218,CTSE,NM_148964
ENST00000379153,CD83,NM_001040280
ENST00000379153,CD83,NM_004233
ENST00000379153,CD83,NM_001251901
ENST00000372359,ARTN,NM_057091
ENST00000498139,ARTN,NM_001136215
ENST00000414809,ARTN,NM_057090
ENST00000279263,TM7SF2,NM_003273
ENST00000345348,TM7SF2,NM_001277233
ENST00000258403,SLC19A3,NM_025243
ENST00000511689,H2AFY,NM_138610
ENST00000511689,H2AFY,NM_001040158
ENST00000304332,H2AFY,NM_004893
ENST00000312469,H2AFY,NM_138609
ENST00000262139,WIPI1,NM_017983
ENST00000476166,FXYD4,NM_173160
ENST00000244333,LYPD3,NM_014400
ENST00000378961,CHGB,NM_001819
ENST00000380071,RFC3,NM_002915
ENST00000434425,RFC3,NM_181558
ENST00000399151,DOPEY2,NM_005128
ENST00000354532,ARHGEF1,NM_004706
ENST00000347545,ARHGEF1,NM_198977
ENST00000337665,ARHGEF1,NM_199002
ENST00000346932,SEZ6L2,NM_001114100
ENST00000350527,SEZ6L2,NM_012410
ENST00000350527,SEZ6L2,NM_001243332
ENST00000308713,SEZ6L2,NM_001114099
ENST00000308713,SEZ6L2,NM_201575
ENST00000537485,SEZ6L2,NM_001243333
ENST00000408955,OR2F2,NM_001004685
ENST00000435500,C4B_2,NM_001242823
ENST00000369916,ABHD16B,NM_080622
ENST00000392899,OR2F1,NM_012369
ENST00000379370,AGRN,NM_198576
ENST00000408922,OR6B1,NM_001005281
ENST00000278888,MS4A2,NM_000139
ENST00000346562,NPAS3,NM_022123
ENST00000346562,NPAS3,NM_173159
ENST00000346562,NPAS3,NM_001164749
ENST00000346562,NPAS3,NM_001165893
ENST00000358075,MAGT1,NM_032121
ENST00000371795,IFIT5,NM_012420
ENST00000429711,RPL32,NM_000994
ENST00000396957,RPL32,NM_001007073
ENST00000396957,RPL32,NM_001007074
ENST00000380122,TXLNG,NM_018360
ENST00000398155,TXLNG,NM_001168683
ENST00000297488,MTUS1,NM_020749
ENST00000381861,MTUS1,NM_001001931
ENST00000262102,MTUS1,NM_001001924
ENST00000381869,MTUS1,NM_001001925
ENST00000544260,MTUS1,NM_001166393
ENST00000372292,SFTPD,NM_003019
ENST00000456914,MUTYH,NM_001048174
ENST00000355498,MUTYH,NM_001048172
ENST00000355498,MUTYH,NM_001048173
ENST00000372115,MUTYH,NM_001048171
ENST00000450313,MUTYH,NM_012222
ENST00000450313,MUTYH,NM_001128425
ENST00000393085,MTPN,NM_145808
ENST00000393085,MTPN,NM_001128619
ENST00000357568,CAPN3,NM_024344
ENST00000349748,CAPN3,NM_173087
ENST00000397163,CAPN3,NM_000070
ENST00000397200,CAPN3,NM_173088
ENST00000337571,CAPN3,NM_173089
ENST00000397204,CAPN3,NM_173090
ENST00000370110,NPM3,NM_006993
ENST00000371827,ELAVL4,NM_001144776
ENST00000357083,ELAVL4,NM_001144775
ENST00000371823,ELAVL4,NM_021952
ENST00000371823,ELAVL4,NM_001144774
ENST00000448907,ELAVL4,NM_001144777
ENST00000409189,CCL20,NM_004591
ENST00000409189,CCL20,NM_001130046
ENST00000367255,SYNE1,NM_182961
ENST00000423061,SYNE1,NM_033071
ENST00000263331,POLR1B,NM_019014
ENST00000333990,POLR1B,NM_001282777
ENST00000409894,POLR1B,NM_001282774
ENST00000417433,POLR1B,NM_001137604
ENST00000541869,POLR1B,NM_001282772
ENST00000537335,POLR1B,NM_001282776
ENST00000275016,CYP39A1,NM_001278739
ENST00000275016,CYP39A1,NM_001278738
ENST00000275016,CYP39A1,NM_016593
ENST00000229135,IFNG,NM_000619
ENST00000417256,CT47A9,NM_001080138
ENST00000380548,ADAMTSL1,NM_001040272
ENST00000327883,ADAMTSL1,NM_052866
ENST00000335509,TPCN1,NM_017901
ENST00000550785,TPCN1,NM_001143819
ENST00000281938,HSPB8,NM_014365
ENST00000256010,NTS,NM_006183
ENST00000203001,TRMT6,NM_001281467
ENST00000203001,TRMT6,NM_015939
ENST00000409843,GULP1,NM_016315
ENST00000409843,GULP1,NM_001252668
ENST00000409805,GULP1,NM_001252669
ENST00000409796,LYSMD4,NM_001284418
ENST00000409796,LYSMD4,NM_001284417
ENST00000344791,LYSMD4,NM_152449
ENST00000344791,LYSMD4,NM_001284419
ENST00000545021,LYSMD4,NM_001284420
ENST00000545021,LYSMD4,NM_001284422
ENST00000369927,TPD52L2,NM_001243892
ENST00000346249,TPD52L2,NM_001243891
ENST00000346249,TPD52L2,NM_003288
ENST00000348257,TPD52L2,NM_199359
ENST00000352482,TPD52L2,NM_199362
ENST00000351424,TPD52L2,NM_199361
ENST00000217121,TPD52L2,NM_199360
ENST00000358548,TPD52L2,NM_199363
ENST00000390856,SNORD66,NR_003055
ENST00000262461,SLC12A2,NM_001046
ENST00000343225,SLC12A2,NM_001256461
ENST00000537309,STH,NM_001007532
ENST00000306507,FOXD4L1,NM_012184
ENST00000457977,CT47A8,NM_001080139
ENST00000440411,PAN2,NM_001166279
ENST00000440411,PAN2,NM_014871
ENST00000425394,PAN2,NM_001127460
ENST00000303714,ANTXR1,NM_032208
ENST00000409829,ANTXR1,NM_018153
ENST00000409349,ANTXR1,NM_053034
ENST00000366671,OTX1,NM_001199770
ENST00000282549,OTX1,NM_014562
ENST00000395172,C8orf31,NM_173687
ENST00000358487,FGFR2,NM_000141
ENST00000356226,FGFR2,NM_001144918
ENST00000356226,FGFR2,NM_001144916
ENST00000369060,FGFR2,NM_001144917
ENST00000457416,FGFR2,NM_022970
ENST00000360144,FGFR2,NM_001144919
ENST00000369056,FGFR2,NM_001144913
ENST00000357555,FGFR2,NM_023029
ENST00000357555,FGFR2,NM_001144915
ENST00000369061,FGFR2,NM_001144914
ENST00000418390,TCEB3,NM_003198
ENST00000309931,DAW1,NM_178821
ENST00000434883,CT47A7,NM_001080140
ENST00000307145,KLF13,NM_015995
ENST00000369049,ECM1,NM_001202858
ENST00000369047,ECM1,NM_004425
ENST00000346569,ECM1,NM_022664
ENST00000327554,CCDC60,NM_178499
ENST00000445907,CHRM2,NM_001006627
ENST00000445907,CHRM2,NM_001006629
ENST00000320658,CHRM2,NM_001006632
ENST00000401861,CHRM2,NM_001006626
ENST00000397608,CHRM2,NM_000739
ENST00000397608,CHRM2,NM_001006628
ENST00000397608,CHRM2,NM_001006630
ENST00000402486,CHRM2,NM_001006631
ENST00000402486,CHRM2,NM_001006628
ENST00000402486,CHRM2,NM_001006630
ENST00000258439,TMEM127,NM_001193304
ENST00000258439,TMEM127,NM_017849
ENST00000399044,CDRT15L2,NM_001190790
ENST00000530839,MS4A6A,NM_152852
ENST00000412309,MS4A6A,NM_022349
ENST00000412309,MS4A6A,NM_001247999
ENST00000323961,MS4A6A,NM_152851
ENST00000263904,STAM2,NM_005843
ENST00000517562,C8orf88,NM_001190972
ENST00000354862,NAT6,NM_012191
ENST00000417393,NAT6,NM_001200018
ENST00000443094,NAT6,NM_001200016
ENST00000255557,C17orf80,NM_001288771
ENST00000268942,C17orf80,NM_001100621
ENST00000268942,C17orf80,NM_001288770
ENST00000426147,C17orf80,NM_001100622
ENST00000359042,C17orf80,NM_017941
ENST00000548651,MGAT4C,NM_013244
ENST00000357716,GRM7,NM_000844
ENST00000486284,GRM7,NM_181874
ENST00000327925,CCDC144NL,NM_001004306
ENST00000171887,TNS1,NM_022648
ENST00000439466,CT47A5,NM_001080142
ENST00000372343,IPO13,NM_014652
ENST00000307050,OTUD7A,NM_130901
ENST00000563941,MSLN,NM_001177355
ENST00000545450,MSLN,NM_005823
ENST00000382862,MSLN,NM_013404
ENST00000398955,MGARP,NM_032623
ENST00000292140,PHLDB3,NM_198850
ENST00000430474,LY6H,NM_002347
ENST00000342752,LY6H,NM_001135655
ENST00000414417,LY6H,NM_001130478
ENST00000258796,TTYH3,NM_025250
ENST00000268070,ADAMTS17,NM_139057
ENST00000536163,KIAA1147,NM_001080392
ENST00000380084,RBBP7,NM_001198719
ENST00000404022,RBBP7,NM_002893
ENST00000265707,ADAM18,NM_014237
ENST00000520772,ADAM18,NM_001190956
ENST00000393167,RABL2A,NM_013412
ENST00000393165,RABL2A,NM_007082
ENST00000246151,PITHD1,NM_020362
ENST00000357065,HNRNPF,NM_001098206
ENST00000357065,HNRNPF,NM_001098204
ENST00000356053,HNRNPF,NM_001098205
ENST00000337970,HNRNPF,NM_004966
ENST00000544000,HNRNPF,NM_001098207
ENST00000443950,HNRNPF,NM_001098208
ENST00000285419,TMEM55A,NM_018710
ENST00000011691,SS18L2,NM_016305
ENST00000336517,ZP3,NM_007155
ENST00000394857,ZP3,NM_001110354
ENST00000265104,DNAH5,NM_001369
ENST00000306193,CBR4,NM_032783
ENST00000338641,NF2,NM_000268
ENST00000338641,NF2,NM_016418
ENST00000338641,NF2,NM_181832
ENST00000361452,NF2,NM_181830
ENST00000361452,NF2,NM_181829
ENST00000403999,NF2,NM_181825
ENST00000334961,NF2,NM_181831
ENST00000361676,NF2,NM_181828
ENST00000413209,NF2,NM_181833
ENST00000578283,TCAP,NM_003673
ENST00000574590,KANSL1,NM_001193465
ENST00000572904,KANSL1,NM_015443
ENST00000262419,KANSL1,NM_001193466
ENST00000390833,SNORD67,NR_003056
ENST00000343848,PSMA8,NM_001025097
ENST00000308268,PSMA8,NM_144662
ENST00000308268,PSMA8,NM_001025096
ENST00000400485,MORC3,NM_015358
ENST00000223273,YAE1D1,NM_020192
ENST00000432096,YAE1D1,NM_001282446
ENST00000312349,FNDC9,NM_001001343
ENST00000394650,CCDC109B,NM_017918
ENST00000261497,USP22,NM_015276
ENST00000545289,ZNF286B,NM_001145045
ENST00000394228,NDUFC1,NM_001184988
ENST00000505036,NDUFC1,NM_002494
ENST00000539387,NDUFC1,NM_001184987
ENST00000539387,NDUFC1,NM_001184990
ENST00000539387,NDUFC1,NM_001184989
ENST00000544855,NDUFC1,NM_001184986
ENST00000539002,NDUFC1,NM_001184991
ENST00000269582,PNMT,NM_002686
ENST00000341776,JARID2,NM_004973
ENST00000397311,JARID2,NM_001267040
ENST00000443600,CT47A6,NM_001080141
ENST00000378896,MCM8,NM_001281520
ENST00000378896,MCM8,NM_032485
ENST00000378896,MCM8,NM_182802
ENST00000378883,MCM8,NM_001281522
ENST00000378886,MCM8,NM_001281521
ENST00000337018,SUGP2,NM_014884
ENST00000452918,SUGP2,NM_001017392
ENST00000310325,CTSF,NM_003793
ENST00000360864,DNAJC5,NM_025219
ENST00000415858,CT47A4,NM_001080143
ENST00000404795,DMRTA2,NM_032110
ENST00000338581,OTOF,NM_004802
ENST00000339598,OTOF,NM_194323
ENST00000402415,OTOF,NM_194322
ENST00000272371,OTOF,NM_194248
ENST00000403946,OTOF,NM_001287489
ENST00000323776,MYCBPAP,NM_032133
ENST00000261654,GPR133,NM_198827
ENST00000374514,LYPLA2,NM_007260
ENST00000330824,GPIHBP1,NM_178172
ENST00000373063,FOXP4,NM_138457
ENST00000373060,FOXP4,NM_001012426
ENST00000373060,FOXP4,NM_001012427
ENST00000347755,PIDD,NM_145886
ENST00000347755,PIDD,NM_145887
ENST00000285420,OTUD6B,NM_016023
ENST00000404789,OTUD6B,NM_001286745
ENST00000232978,NKTR,NM_005385
ENST00000257527,ADAM19,NM_033274
ENST00000323703,ZNF513,NM_144631
ENST00000407879,ZNF513,NM_001201459
ENST00000361999,ITSN2,NM_019595
ENST00000355123,ITSN2,NM_006277
ENST00000406921,ITSN2,NM_147152
ENST00000408906,OR2A5,NM_012365
ENST00000520584,ZFP41,NM_001271156
ENST00000330701,ZFP41,NM_173832
ENST00000408898,OR2A25,NM_001004488
ENST00000408949,OR2A12,NM_001004135
ENST00000295055,CAPN13,NM_144575
ENST00000395671,TRIM16L,NM_001037330
ENST00000413658,ZNF3,NM_017715
ENST00000428683,ZNF3,NM_001278284
ENST00000424697,ZNF3,NM_032924
ENST00000424697,ZNF3,NM_001278292
ENST00000424697,ZNF3,NM_001278291
ENST00000424697,ZNF3,NM_001278290
ENST00000424697,ZNF3,NM_001278287
ENST00000408979,OR2A2,NM_001005480
ENST00000307624,ACOT12,NM_130767
ENST00000454250,CHRNA7,NM_001190455
ENST00000306901,CHRNA7,NM_000746
ENST00000408899,OR2A14,NM_001001659
ENST00000380534,FAM154A,NM_153707
ENST00000380534,FAM154A,NM_001287049
ENST00000380530,FAM154A,NM_001287050
ENST00000542071,FAM154A,NM_001287050
ENST00000354308,SYT5,NM_003180
ENST00000299638,POLR2M,NM_015532
ENST00000299638,POLR2M,NM_001285900
ENST00000380557,POLR2M,NM_001018102
ENST00000486333,CTAGE4,NM_198495
ENST00000395144,HYAL1,NM_153283
ENST00000395144,HYAL1,NM_033159
ENST00000320295,HYAL1,NM_153281
ENST00000395143,HYAL1,NM_153282
ENST00000447605,HYAL1,NM_153285
ENST00000396153,FAF1,NM_007051
ENST00000263960,COQ10B,NM_025147
ENST00000378115,ARHGEF35,NM_001003702
ENST00000284382,CERS3,NM_178842
ENST00000367120,IKBKE,NM_014002
ENST00000367120,IKBKE,NM_001193322
ENST00000537984,IKBKE,NM_001193321
ENST00000352981,CASP6,NM_032992
ENST00000265164,CASP6,NM_001226
ENST00000273221,IQSEC1,NM_014869
ENST00000429247,IQSEC1,NM_001134382
ENST00000441330,CT47A3,NM_001080144
ENST00000274766,KAAG1,NM_181337
ENST00000391496,OR2A42,NM_001001802
ENST00000284637,SH3RF1,NM_020870
